['INFO ]2023-11-20 07:31:16,070(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 07:31:23,292(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Loggin failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 07:31:23,739(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Loggin failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 07:31:24,049(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 07:31:24,376(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please provide all mandatory details to create a new patient
['INFO ]2023-11-20 07:31:24,757(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed:No Patient Info Found !!!
['INFO ]2023-11-20 07:31:25,180(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please Provide the correct patient Id to update the records
['INFO ]2023-11-20 07:31:25,410(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect patientId!Records cannot be viewed
['INFO ]2023-11-20 07:31:25,593(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect FileId!Records cannot be viewed
['INFO ]2023-11-20 07:31:25,779(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Morbidity Name doesnt match!Records cannot be viewed
['INFO ]2023-11-20 07:31:25,948(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Patient Id doesnt exists to perform delete actions!!
['INFO ]2023-11-20 12:34:37,417(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:34:39,401(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 12:34:40,477(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:34:40,824(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 12:34:41,062(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 12:34:41,294(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:34:41,747(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 12:34:41,966(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:34:42,224(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:34:42,628(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:34:42,827(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 0
['INFO ]2023-11-20 12:34:43,033(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:34:43,863(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:34:44,174(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:34:44,557(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:34:44,920(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:34:45,293(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:36:48,328(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:36:50,718(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 12:36:51,766(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:36:52,175(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 12:36:52,382(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 12:36:52,614(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:36:53,065(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 12:36:53,340(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:36:53,585(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:36:53,948(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:36:54,212(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 0
['INFO ]2023-11-20 12:40:16,527(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:40:19,308(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 12:40:20,331(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:40:20,697(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 12:40:20,918(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 12:40:21,140(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:40:21,524(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 12:40:21,770(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:40:21,985(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:40:22,387(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:40:22,564(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 0
['INFO ]2023-11-20 12:40:22,752(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:40:23,550(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:40:23,902(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:40:24,226(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:40:24,575(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 12:40:24,938(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:40:25,312(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please provide all mandatory details to create a new patient
['INFO ]2023-11-20 12:40:25,716(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed:No Patient Info Found !!!
['INFO ]2023-11-20 12:40:26,152(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please Provide the correct patient Id to update the records
['INFO ]2023-11-20 12:40:26,338(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect patientId!Records cannot be viewed
['INFO ]2023-11-20 12:40:26,521(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect FileId!Records cannot be viewed
['INFO ]2023-11-20 12:40:26,698(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Morbidity Name doesnt match!Records cannot be viewed
['INFO ]2023-11-20 12:40:26,881(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Patient Id doesnt exists to perform delete actions!!
['INFO ]2023-11-20 12:42:13,956(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:42:16,001(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 12:42:16,939(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:42:17,233(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 12:42:17,452(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 12:42:17,653(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:42:18,172(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 12:42:18,418(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 12:42:18,689(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 12:42:19,093(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 12:42:19,322(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 0
['INFO ]2023-11-20 13:10:36,412(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:10:37,927(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient Id  has been created  Successfully***************
['INFO ]2023-11-20 13:10:38,249(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:10:39,075(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been successfully updated:4156
['INFO ]2023-11-20 13:10:39,422(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:4156
['INFO ]2023-11-20 13:10:39,696(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient's FileId:655ba11ffa57dd184cbe9939
['INFO ]2023-11-20 13:10:39,898(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 13:10:40,083(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 13:10:40,349(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:10:40,788(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 13:10:40,992(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:4156
['INFO ]2023-11-20 13:10:41,209(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient's FileId:655ba11ffa57dd184cbe9939
['INFO ]2023-11-20 13:10:41,394(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:10:41,784(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:10:42,027(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 4156
['INFO ]2023-11-20 13:10:42,261(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:10:42,918(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:10:43,218(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:10:43,579(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:10:43,979(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:10:44,311(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:10:44,713(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please provide all mandatory details to create a new patient
['INFO ]2023-11-20 13:10:45,184(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed:No Patient Info Found !!!
['INFO ]2023-11-20 13:10:45,700(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please Provide the correct patient Id to update the records
['INFO ]2023-11-20 13:10:45,880(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect patientId!Records cannot be viewed
['INFO ]2023-11-20 13:10:46,051(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect FileId!Records cannot be viewed
['INFO ]2023-11-20 13:10:46,257(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Morbidity Name doesnt match!Records cannot be viewed
['INFO ]2023-11-20 13:10:46,450(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Patient Id doesnt exists to perform delete actions!!
['INFO ]2023-11-20 13:28:59,331(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:29:04,317(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:29:06,589(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 13:29:07,391(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 13:30:18,328(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:30:20,055(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:30:21,846(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 13:30:22,376(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 13:32:01,214(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:32:04,166(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:32:05,810(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 13:37:00,569(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:37:02,357(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:37:03,454(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 13:37:04,111(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 13:37:04,324(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 13:37:04,556(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:37:04,954(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 13:37:05,163(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:0
['INFO ]2023-11-20 13:37:05,353(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:39:57,704(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:39:59,476(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:42:40,220(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:42:43,061(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:55:02,854(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:55:04,975(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient Id  has been created  Successfully***************
['INFO ]2023-11-20 13:55:05,343(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-*************You have retrieved ALL patients details in the system***************
['INFO ]2023-11-20 13:55:06,382(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been successfully updated:4256
['INFO ]2023-11-20 13:55:06,832(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:4256
['INFO ]2023-11-20 13:55:07,124(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient's FileId:655bab8afa57dd184cbe9a11
['INFO ]2023-11-20 13:55:08,341(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-********You have retrieved ALL Morbidity details in the system*************
['INFO ]2023-11-20 13:55:08,596(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-You have retrieved the morbidity details associated with this Morbidity name:TSH
['INFO ]2023-11-20 13:55:08,839(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:55:09,363(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Patient has logged in Successfully***************
['INFO ]2023-11-20 13:55:09,649(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient Id:4256
['INFO ]2023-11-20 13:55:09,906(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-These are the records associated with this patient's FileId:655bab8afa57dd184cbe9a11
['INFO ]2023-11-20 13:55:10,122(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:55:10,588(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:55:10,836(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-The records associated with this patient Id has been deleted successfully: 4256
['INFO ]2023-11-20 13:55:11,050(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** User has logged out Successfully***************
['INFO ]2023-11-20 13:55:11,900(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:55:12,274(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:55:12,613(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:55:12,994(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Login failue: Invalid Credetials!Please enter your valid email address and password*************
['INFO ]2023-11-20 13:55:13,566(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-***************** Dietician has logged in Successfully***************
['INFO ]2023-11-20 13:55:14,133(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please provide all mandatory details to create a new patient
['INFO ]2023-11-20 13:55:14,607(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed:No Patient Info Found !!!
['INFO ]2023-11-20 13:55:15,150(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Please Provide the correct patient Id to update the records
['INFO ]2023-11-20 13:55:15,348(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect patientId!Records cannot be viewed
['INFO ]2023-11-20 13:55:15,538(YYYY-MM-ddHH:MM:ss.SSS][main]api.Utilities.Loggerload1)-Action failed: Incorrect FileId!Records cannot be viewed
